"License No.","Business Name",DBA,"License Type",City,County,Expiration
DAAA-JJY5-NGZG,"DAPTK LLC",BLKD,Dispensary,"Oklahoma City",Oklahoma,2024-08-25
DAAA-H3LV-OM3Y,"Tulsa 2 Naturals, L.L.C","High Society Dispensary 15",Dispensary,Norman,Cleveland,2023-08-26
DAAA-KEZY-NC08,"Altus Dispensary","Altus Dispensary",Dispensary,Tahlequah,Cherokee,2023-08-26
DAAA-BIDG-D6OT,"Reefer Joe's 02 Inc","Reefer Joe's 02 Inc",Dispensary,"Elk City",Beckham,2023-08-29
DAAA-OX0D-A1RJ,"Green Gods' Farm LLC","Green Gods' Farm LLC",Dispensary,Fletcher,Comanche,2023-08-29
DAAA-XZ7X-S8IH,"Jimbo's Buds & More LLC","Jimbo's Buds & More LLC",Dispensary,Altus,Jackson,2023-08-29
DAAA-9201-J383,"THE GROWERS COLLECTIVE LLC","THE GROWERS COLLECTIVE LLC",Dispensary,KINGSTON,Marshall,2023-08-29
DAAA-NYQV-XWQN,"CANNABIS RULES EVERYTHING AROUND ME LLC","CREAM Dispensary",Dispensary,Lawton,Comanche,2023-08-29
DAAA-7SV9-R1Q9,"Gaines Greens Dispensary, LLC","Gaines Greens Dispensary",Dispensary,Oktaha,Muskogee,2023-08-29
DAAA-5T6N-OFQ3,"Reefer Joe's 03 Inc","Reefer Joe's 03 Inc",Dispensary,"Midwest City",Oklahoma,2023-08-29
DAAA-Y6G0-M8E6,"The Happy Skunk, LLC","The Happy Skunk, LLC",Dispensary,Guymon,Texas,2024-08-31
DAAA-RMML-MHBV,"MKL industries",BUDSPOT,Dispensary,Sapulpa,Creek,2023-09-08
DAAA-JZDS-JM2S,"Logan's Farm, LLC","Bob's at Crush Gardens",Dispensary,Edmond,Logan,2023-09-12
DAAA-QZ1U-XOW4,"""All Gas"" LLC","""All Gas"" LLC",Dispensary,"Oklahoma City",Oklahoma,2023-09-12
DAAA-ZICV-9QEV,"Red Dirt Industries LLC",Budtastik,Dispensary,Chickasha,Grady,2023-09-12
DAAA-RB40-G8F5,"Lotus Garden Apothecary LLC","Lotus Garden Apothecary LLC",Dispensary,"Oklahoma City",Oklahoma,2023-09-12
DAAA-3FP6-MTKM,"HORIZON CANNABIS COMPANY LLC","HORIZON CANNABIS COMPANY LLC",Dispensary,ALEX,Grady,2023-09-12
DAAA-5MUN-3Z2J,"Nitty Gritty Gas","Nitty Gritty Gas",Dispensary,Tulsa,Tulsa,2023-09-12
DAAA-CK46-Z5R0,"Green Grass Exotics LLC","Green Grass Exotics LLC",Dispensary,Tulsa,Tulsa,2023-09-12
DAAA-PO7E-O3HE,"chras gonga farms llc","chras gonga farms llc",Dispensary,WILSON,Carter,2023-09-13
DAAA-OU5M-OUDI,"Dank420, LLC","Dank420, LLC",Dispensary,Tulsa,Tulsa,2023-09-13
DAAA-8U12-OH43,"c&c smoke llc","c&c smoke llc",Dispensary,Ardmore,Carter,2023-09-13
DAAA-GWW8-99IT,"Dragon Phoenix LLC","Dragon Phoenix",Dispensary,Woodward,Woodward,2023-09-13
DAAA-IM62-T8BI,"SLW Ventures, LLC","Buddies Cannabis Co- Eastern",Dispensary,"Oklahoma City",Oklahoma,2023-09-13
DAAA-SXED-29GO,"Iconic Smoke 405, LLC","Iconic Smoke 405, LLC",Dispensary,Davis,Murray,2023-09-15
DAAA-KQ86-KQMJ,"Logan's Farm, LLC","Bob's at Crush Gardens 4",Dispensary,Edmond,Logan,2023-09-15
DAAA-M82B-ZX9R,"Logan's Farm, LLC","Bob's at Crush Gardens 5",Dispensary,Edmond,Logan,2023-09-15
DAAA-QKBQ-YWW2,"house of o & grow inc","house of o & grow inc",Dispensary,ardmore,Carter,2023-09-15
DAAA-PEAH-Z335,"Pre Rollz Dispensary, LLC","Pre Rollz Dispensary, LLC",Dispensary,Purcell,McClain,2023-09-15
DAAA-P6RE-2HSJ,"Todays Drop, LLC","Todays Drop, LLC",Dispensary,Edmond,Logan,2023-09-15
DAAA-9YH8-I3TE,"MUSTANG PATIENT CARE, LLC","MUSTANG PATIENT CARE, LLC",Dispensary,MUSTANG,Canadian,2023-09-15
DAAA-0BHM-QCA9,"Reefer Joe's, LLC","Reefer Joe's, LLC",Dispensary,Altus,Jackson,2023-09-16
DAAA-Y9SS-6S0I,"The Original Big Buds LLC","The Original Big Buds LLC",Dispensary,"Oklahoma City",Oklahoma,2023-09-16
DAAA-X3UL-A38U,"ARCADIA 55 VENTURE LLC","ARCADIA 55 VENTURE LLC",Dispensary,"Pauls Valley",Garvin,2023-09-19
DAAA-CWQB-R4XH,"JOHNSON AND T DISPENSARY, INC","JOHNSON AND T DISPENSARY, INC",Dispensary,ADAIR,Mayes,2023-09-19
DAAA-NSZK-3W0I,"ELMORE FOSTER DISPENSARY, INC","ELMORE FOSTER DISPENSARY, INC",Dispensary,"ELMORE CITY",Garvin,2023-09-19
DAAA-7GOF-IBGV,"74TH And South May Naturals, LLC","High Society Dispensary 8",Dispensary,"Oklahoma City",Oklahoma,2024-09-19
DAAA-NUZ9-AU3R,"Sky Leaf Cannabis, LLC","Sky Leaf Cannabis, LLC",Dispensary,Tulsa,Tulsa,2023-09-19
DAAA-7YWM-DBZJ,"Black Dog Provisions, LLC","The Market",Dispensary,Tulsa,Tulsa,2024-09-20
DAAA-AYP7-1KSF,"Bambino Exotics, LLC","Bambino X",Dispensary,Wyandotte,Ottawa,2023-09-20
DAAA-RW3K-T4BQ,"Windore Enterprises, LLC","Windore Enterprises, LLC",Dispensary,Muskogee,Muskogee,2023-09-20
DAAA-HLK2-61SM,"SCH Ventures LLC","Field of Dreams Dispensary",Dispensary,Edmond,Logan,2023-09-21
DAAA-DGUT-9D9L,"SCH Ventures LLC","Field of Dreams Dispensary",Dispensary,Edmond,Logan,2023-09-21
DAAA-VOEW-G8H0,"SCH Ventures LLC","Field of Dreams Dispensary",Dispensary,Edmond,Oklahoma,2023-09-21
DAAA-CFCJ-OG0F,"Toke and Grow LLC","Toke and Grow LLC",Dispensary,Skiatook,Osage,2023-09-21
DAAA-SPLC-T3CR,"AAA Apothecary LLC","AAA Apothecary LLC",Dispensary,Ada,Pontotoc,2023-09-21
DAAA-5VJK-SLXP,"Boss Level Bud's LLC","Boss Buds",Dispensary,Lawton,Comanche,2023-09-22
DAAA-ETV1-CX0N,"Harvest Dispensary Bixby LLC","Harvest Dispensary Bixby LLC",Dispensary,Bixby,Tulsa,2023-09-22
DAAA-7REK-JFE3,"PJ Mustang Dispensary, LLC","Elite Cannabis Mustang",Dispensary,Mustang,Canadian,2023-09-22
DAAA-0O2P-G70G,"Cosmic Farm LLC","Cosmic Farm LLC",Dispensary,Lawton,Comanche,2023-09-22
DAAA-354T-LK26,"Emerald Consulting, LLC","Red Rock Dispensary",Dispensary,Hinton,Caddo,2024-09-23
DAAA-KSN4-ZPV5,"Feshani LLC","Ganja Plus",Dispensary,Fairland,Ottawa,2023-09-23
DAAA-SNVS-I2GS,"Prairie Drive, LLC","Prairie Drive, LLC",Dispensary,"Pauls Valley",Garvin,2023-09-23
DAAA-H483-YJ0T,"KLL Holdings, Inc.","KLL Holdings, Inc.",Dispensary,Chattanooga,Cotton,2023-09-26
DAAA-4213-14HN,"ACE GENETICS CLUB","ACE GENETICS CLUB",Dispensary,EDMOND,Logan,2023-09-26
DAAA-M2U2-RWTJ,"American Cannabis Company - 15, LLC","American Cannabis Company - 15, LLC",Dispensary,Lawton,Oklahoma,2023-09-26
DAAA-HDPJ-SDWF,"American Cannabis Company - 16, LLC","American Cannabis Company - 16, LLC",Dispensary,Stillwater,Payne,2023-09-26
DAAA-O9MG-6EFE,"United Green Farm LLC","Ganja Plus 2",Dispensary,"Oklahoma City",Oklahoma,2023-09-27
DAAA-2BE2-LU85,"Snows Herbal Remedy LLC","The Herbal Cure Okmulgee",Dispensary,Okmulgee,Okmulgee,2023-09-27
DAAA-EYI6-450K,"NEXT ELEVATION INC","NEXT ELEVATION INC",Dispensary,Moore,Cleveland,2023-09-27
DAAA-SOV7-JMIE,"Major Meds, LLC","Major Meds, LLC",Dispensary,Crescent,Logan,2023-09-28
DAAA-S3KD-58JF,"Doobi Distribution, LLC","Doobi Distribution, LLC",Dispensary,Newcastle,McClain,2023-09-28
DAAA-6VVL-OYOO,"Smoke Smart, LLC","Smoke Smart, LLC",Dispensary,"Oklahoma City",Oklahoma,2023-09-28
DAAA-NWN0-NPNC,"OKC Metro Retail Inc.","OKC Red River Trading",Dispensary,"Oklahoma City",Oklahoma,2023-09-28
DAAA-JAWI-GGFC,"AMSTERDAM INC","AMSTERDAM INC",Dispensary,MUSE,"Le Flore",2023-09-28
DAAA-Y139-FJRG,"ACE'S HIGH DISPENSARY INC","ACES HIGH DISPENSARY INC",Dispensary,HODGEN,"Le Flore",2023-09-28
DAAA-VYT0-M540,"B&K Buds","B&K Buds",Dispensary,"Oklahoma City",Oklahoma,2023-09-28
DAAA-2N3D-H38E,"Grow Bros Pharms Inc","Grow Bros Pharms Inc",Dispensary,MEAD,Bryan,2023-09-28
DAAA-LRCF-7MQ9,"E and B Farms, LLC","The Green Elk",Dispensary,"Elk City",Beckham,2023-09-29
DAAA-KWSE-15TF,"Fire House Meds LLC.","Fire House Meds LLC",Dispensary,hugo,Choctaw,2023-09-29
DAAA-BXTL-QV27,"GSdispo LLC","GSdispo LLC",Dispensary,Checotah,McIntosh,2023-09-29
DAAA-DXXO-ZALH,"Lokis Leaf 2 LLC","Lokis Leaf 2 LLC",Dispensary,grove,Delaware,2023-09-29
DAAA-AM7D-JSZ8,"2541 W Main Naturals, LLC","High Society Dispensary 10",Dispensary,Norman,Cleveland,2023-09-30
DAAA-NAT9-P4L4,"God's Natural Gift, LLC","Highly Dissipated",Dispensary,IDABEL,McCurtain,2023-09-30
DAAA-V6FW-VAJL,"614JCD, LLC","Jones Cannabis Dispensary",Dispensary,Jones,Oklahoma,2024-09-30
DAAA-7A6F-IUFC,"Just Weed, LLC","Charlie Mike's",Dispensary,Wilburton,Latimer,2023-09-30
DAAA-I3LD-48KV,"Main Street Meds","Main Street Meds",Dispensary,Tulsa,Tulsa,2023-09-30
DAAA-WWJT-DWSW,"QL DISPENSARY LLC","QL DISPENSARY LLC",Dispensary,GUTHRIE,Logan,2023-10-03
DAAA-CXDQ-03V0,"Re-Up LLC","Re-Up LLC",Dispensary,"broken arrow",Wagoner,2023-10-03
DAAA-5WP6-FIWN,"Stonerz & Company, LLC","Stonerz & Co.",Dispensary,Muskogee,Muskogee,2023-10-03
DAAA-5VXC-LFNS,"MEWSWEED COOKIE LLC","MEWSWEED COOKIE LLC",Dispensary,Guthrie,Logan,2023-10-03
DAAA-CSYI-DIPT,"Spark Cannabis Co.","Spark Cannabis Co.",Dispensary,Walters,Cotton,2023-10-03
DAAA-7878-M4AB,"Budacious LLC","Budacious LLC",Dispensary,Atoka,Atoka,2023-10-04
DAAA-Z7WM-4E7V,"Junction 420 LLC","Junction 420 LLC",Dispensary,Marietta,Love,2023-10-05
DAAA-9204-8WSI,"Captain and Captain, Inc.","T Nugs World of Cannabis 2",Dispensary,Owasso,Tulsa,2023-10-05
DAAA-HDEC-K79E,"Remedy Wellness, LLC","Remedy Wellness, LLC",Dispensary,welch,Craig,2023-10-05
DAAA-00G1-QMLI,"Nine One Eight Elevate Grand Lake, LLC","918 Elevate Grand Lake",Dispensary,DISNEY,Mayes,2023-10-05
DAAA-N735-I25U,"GANJA CITY IV LLC","GANJA CITY IV LLC",Dispensary,"Oklahoma City",Oklahoma,2023-10-05
DAAA-OO5G-SYQF,"AIR CAPITAL DISPENSARY LLC","AIR CAPITAL DISPENSARY LLC",Dispensary,BLACKWELL,Kay,2023-10-06
DAAA-7KJO-AN6W,"Midych LLC","Red Shed Dispensary",Dispensary,"Park Hill",Cherokee,2023-10-06
DAAA-FX7Y-QDWJ,"MT Dank Tank LLC","MT Dank Tank LLC",Dispensary,"El reno",Canadian,2023-10-06
DAAA-0AZL-D5AY,"THERA FLOWER, LLC","THERA FLOWER, LLC",Dispensary,MEAD,Bryan,2023-10-06
DAAA-1Z50-O2J1,"LA GreenPlanet, LLC","LA 2 OK 2",Dispensary,Sayre,Beckham,2023-10-10
DAAA-4RFY-O3RR,"Illuminate Cannabis, LLC","Illuminate Cannabis, LLC",Dispensary,Stratford,Garvin,2023-10-10
DAAA-EDZX-1RYH,"TROPIC CANNA LAWTON WEST LLC","TROPIC CANNA LAWTON WEST LLC",Dispensary,Lawton,Comanche,2024-10-10
DAAA-OYQW-GYI0,"HRE, LLC","The Hive Collective",Dispensary,"Oklahoma City",Oklahoma,2023-10-10
DAAA-8PRK-GSDZ,"Newtopia Holdings LLC","Newtopia Holdings LLC",Dispensary,Moore,Cleveland,2023-10-11
DAAA-E2VV-D92S,"RADIANT FORT 4 SOLUTIONS LLC","RADIANT FORT 4 SOLUTIONS LLC",Dispensary,LAWTON,Comanche,2023-10-11
DAAA-FNNA-322D,"Emerald Consulting, LLC","Emerald Connection",Dispensary,HINTON,Caddo,2023-10-11
DAAA-NOM1-427E,"Savage Mountain Cannabis Company","Savage Mountain Cannabis Company",Dispensary,Stuart,Hughes,2023-10-11
DAAA-PCZ3-IHRH,"FAERIE FIRE LLC","FAERIE FIRE LLC",Dispensary,ALTUS,Jackson,2023-10-11
DAAA-NLOO-91RT,"Altai SE Store LLC","Firebox Dispensary",Dispensary,Marietta,Love,2024-10-12
DAAA-98DR-UHRO,"Cannaplex LLC","Cannaplex LLC",Dispensary,Afton,Delaware,2023-10-12
DAAA-TJ9E-9KOB,"L1F3 Capital","L1F3 Experience",Dispensary,"Oklahoma City",Oklahoma,2023-10-12
DAAA-1Q68-UFZ4,"Cabin Creek Holdings, LLC","The M&M Connection",Dispensary,Sapulpa,Creek,2023-10-13
DAAA-BKD3-W1O7,"A & S Tulsa LLC","Ash Express Dispensary",Dispensary,Nowata,Nowata,2023-10-17
DAAA-IFBH-YUUX,"Logan's Farm, LLC","Bob's at Crush Gardens 9",Dispensary,Edmond,Logan,2023-10-17
DAAA-981J-037G,"Ogre Village, LLC","Ogre Village",Dispensary,Watts,Adair,2023-10-17
DAAA-OW40-IY91,"Ogre Village, LLC","Ogre Village",Dispensary,Watts,Adair,2023-10-17
DAAA-1M8O-I41N,"An Apothecary Dispensary LLC","An Apothecary Dispensary LLC",Dispensary,Purcell,McClain,2023-10-18
DAAA-3FZ3-PBT5,"Legends Never Die, LLC","Legends Never Die, LLC",Dispensary,Tulsa,Tulsa,2023-10-18
DAAA-2JVG-XZ4M,"HAQS 1000 LLC","HAQS 1000",Dispensary,Guthrie,Logan,2023-10-18
DAAA-30HY-ARCS,"XC Choctaw Dispensary LLC","XC Choctaw Dispensary LLC",Dispensary,Choctaw,Oklahoma,2023-10-18
DAAA-50TD-1M7K,"Herbal Bud Healers LLC","Herbal Bud Healers LLC",Dispensary,PRYOR,Mayes,2023-10-19
DAAA-6TKI-8LKB,"August-McKinney, LLC","Lakeside Dispensary",Dispensary,Skiatook,Tulsa,2023-10-19
DAAA-81HC-CLYV,"Green Releaf Dispensary LLC","Green Releaf Dispensary LLC",Dispensary,Sallisaw,Sequoyah,2023-10-19
DAAA-Q2C2-EO50,"Mango Group Lawton, LLC","Mango Group Lawton",Dispensary,Lawton,Comanche,2023-10-24
DAAA-0NPR-VWEA,"The Nug Shack 1 LLC","The Nug Shack 1 LLC",Dispensary,Edmond,Logan,2023-10-28
DAAA-JKA9-23F5,"Endo, Inc.","Endo, Inc.",Dispensary,Tulsa,Tulsa,2023-10-31
DAAA-JQH0-FRII,"Hashfoxx LLC","Hashfoxx LLC",Dispensary,"Oklahoma City",Oklahoma,2023-10-31
DAAA-A2KM-I83L,"GreenGo House","GreenGo House",Dispensary,Sayre,Beckham,2023-11-01
DAAA-4GJ1-8YKH,"Farmers Market Buds Dispensary LLC","OKC Flowerhouse",Dispensary,"Oklahoma City",Oklahoma,2023-11-04
DAAA-R5AX-AVOM,"Austinite Cannabis Company LLC","Austinite Cannabis Company",Dispensary,Ardmore,Carter,2023-11-04
DAAA-50M7-D69Q,"Proud Mary Cannabis, LLC","Proud Mary Cannabis",Dispensary,"Oklahoma City",Oklahoma,2023-11-04
DAAA-KMJW-3Q1E,"7 Leaf Solutions LLC","7 Leaf Solutions LLC",Dispensary,Ada,Pontotoc,2023-11-04
DAAA-9BY4-2C2V,"Chopper Farms, LLC","Chopper Farms, LLC",Dispensary,Norman,Cleveland,2023-11-07
DAAA-RDW5-J6ZR,"Adair County Distro Inc.","Adair County Distro Inc.",Dispensary,Stilwell,Adair,2023-11-07
DAAA-CTE8-GOJ3,"Firefly Dispensary LLC","Firefly Dispensary LLC",Dispensary,Canadian,Pittsburg,2023-11-07
DAAA-QN6V-5ECJ,"Yowie Dispo, Inc.","Squatch Co.",Dispensary,EUFAULA,McIntosh,2023-11-07
DAAA-ZUIM-EKD8,"Hemp Rx LLC","Hemp Rx",Dispensary,Tulsa,Tulsa,2023-11-07
DAAA-X3D1-O1RE,"Greenhouse Partners 2, LLC","Greenhouse Partners 2",Dispensary,"Oklahoma City",Oklahoma,2023-11-08
DAAA-I6KQ-QAHC,"Uncle Mondos LLC","dianela gomez",Dispensary,Bethany,Oklahoma,2023-11-08
DAAA-XDLL-54QY,"Doobie Shack LLC","Doobie Shack LLC",Dispensary,crescent,Kingfisher,2023-11-09
DAAA-ZSNX-KRIS,"The Runtz Factory llc","The Runtz Factory llc",Dispensary,Tulsa,Tulsa,2023-11-09
DAAA-717D-KKQP,"GREEN KINGDOM LLC","GREEN KINGDOM LLC",Dispensary,"Oklahoma City",Oklahoma,2023-11-14
DAAA-PD5C-GPRC,"HRBN LLC",HRBN,Dispensary,"Oklahoma City",Oklahoma,2023-11-14
DAAA-R4AT-OIEZ,"OKAF, Inc","Apothecary Extracts",Dispensary,Beggs,Okmulgee,2023-11-15
DAAA-9BQW-2TXH,"ROYAL SWEETS DISPENSARY LLC","ROYAL SWEETS DISPENSARY LLC",Dispensary,"Oklahoma City",Oklahoma,2023-11-15
DAAA-RYKR-3T3O,"Springbrook Dispensary LLC","Springbrook Dispensary LLC",Dispensary,Shawnee,Pottawatomie,2023-11-15
DAAA-27BQ-21ZM,"Logan's Farm, LLC","Bob's at Crush Gardens 3",Dispensary,Edmond,Logan,2023-11-15
DAAA-JYK5-35AM,"Trifecta Farms, LLC","Trifecta Farms, LLC",Dispensary,"Oklahoma City",Oklahoma,2024-11-15
DAAA-ERLL-HQGE,"3rd Coast Alternative Solutions LLC","3rd Coast Alternative Solutions LLC",Dispensary,Lawton,Comanche,2023-11-15
DAAA-QBBQ-13TM,"Kianna Pharm, LLC","Kianna Pharms",Dispensary,Ardmore,Carter,2023-11-16
DAAA-GM45-JX54,"EFFUSION-HALL OF FLOWERS C-CORPORATION","BUD LIGHTZ #7",Dispensary,Owasso,Tulsa,2023-11-16
DAAA-GPEI-MZ0J,"Stratus Nexum Inc","Stratus Nexum Inc",Dispensary,Ada,Pontotoc,2023-11-16
DAAA-N9E8-6U4Z,"White smoke,L.L.C","White smoke",Dispensary,Oklahoma,Oklahoma,2023-11-16
DAAA-PTKR-36Z0,"HHMS, LLC","HHMS, LLC",Dispensary,Quapaw,Ottawa,2023-11-16
DAAA-QFSZ-HCY7,"hemp mother llc","hemp mother llc",Dispensary,COLCORD,Delaware,2023-11-16
DAAA-ZZDB-2Z0W,"Rocking Y Dispensary, INC","Rocking Y Dispensary",Dispensary,Wyandotte,Ottawa,2023-11-17
DAAA-M5EI-B2DI,"Black Sails Cannabis Company, LLC","Black Sails Cannabis Company, LLC",Dispensary,Marlow,Stephens,2023-11-17
DAAA-EMRP-C1EC,"OklaStona Farms Dispensary LLC","OklaStona Farms Dispensary",Dispensary,Guthrie,Logan,2023-11-17
DAAA-ZRL9-63CH,"3rd Coast Alternative Solutions LLC","3rd Coast Alternative Solutions LLC",Dispensary,Lawton,Comanche,2023-11-17
DAAA-EA68-HY3A,"OKAF, Inc","Apothecary Extracts",Dispensary,Beggs,Creek,2023-11-18
DAAA-UGEX-3OO4,"Hanger Consultation & Investments Co LLC","dba Hourglass Extracts",Dispensary,Edmond,Logan,2023-11-18
DAAA-1J5P-QUIK,"Sky Leaf Cannabis BA, LLC","Sky Leaf Cannabis BA, LLC",Dispensary,"Broken Arrow",Wagoner,2023-11-18
DAAA-AERI-CY23,"A TRIP TO THE MOON LLC","A TRIP TO THE MOON LLC",Dispensary,ALEX,Grady,2023-11-21
DAAA-HGXG-8T0Y,"Tilted Holdings LLC","Tilted Holdings LLC",Dispensary,Miami,Ottawa,2023-11-21
DAAA-B2JD-B43Y,"Tilted Holdings LLC","Tilted Holdings LLC",Dispensary,Miami,Ottawa,2023-11-21
DAAA-OIMN-IHN0,"Delirium Dispensary, LLC","Delirium Dispensary",Dispensary,Vinita,Craig,2023-11-21
DAAA-OH3I-YR5F,"Logan's Farm, LLC","Bob's at Crush Gardens 7",Dispensary,Edmond,Logan,2023-11-21
DAAA-J44P-PRKD,"Doc Holidaze Dispensary LLC","Doc Holidaze Dispensary LLC",Dispensary,Gracemont,Caddo,2023-11-22
DAAA-SVEH-1PTS,"Toke and Grow LLC","Toke and Grow LLC",Dispensary,Bartlesville,Washington,2023-11-22
DAAA-FVF8-SCA8,"Turner Love LLC","Turner Love LLC",Dispensary,Marietta,Love,2023-11-22
DAAA-H8NA-WT9G,"Logan's Farm, LLC","Bob's at Crush Gardens 8",Dispensary,Edmond,Logan,2023-11-22
DAAA-VXSO-QKS2,"Sandica Supply LLC","Sandica Supply LLC",Dispensary,"Broken Arrow",Tulsa,2023-11-22
DAAA-SAV1-D64H,"Exotic Ventures, LLC","Phamily Trees Dispensary",Dispensary,"Oklahoma City",Oklahoma,2023-11-22
DAAA-M2FD-1K8P,"Lois hicks","Nanaz Greenz",Dispensary,Westville,Adair,2023-11-22
DAAA-M4M1-BOOE,"GREEN UNICORN DISPENSARY INC","GREEN UNICORN DISPENSARY",Dispensary,OKEMAH,Okfuskee,2023-11-23
DAAA-CJ1F-KDPV,"ESCC Inc., LLC","The Farmacy Dispensary Wellness Clinic",Dispensary,"Oklahoma City",Oklahoma,2023-11-29
DAAA-3X9N-2SJG,"Green Rush Ventures LLC","Green Rush Ventures LLC",Dispensary,Eufaula,Pittsburg,2023-11-29
DAAA-4PT4-Y3BI,"Green Rush Ventures LLC","Green Rush Ventures LLC",Dispensary,Eufaula,Pittsburg,2023-11-29
DAAA-Q53B-HO1U,"Green Rush Ventures LLC","Green Rush Ventures LLC",Dispensary,EUFAULA,Pittsburg,2023-11-29
DAAA-R5OX-3E84,"Spaced Out Dispensary LLC","Spaced Out Dispensary LLC",Dispensary,Milburn,Johnston,2023-11-29
DAAA-6GLM-RX3G,"Jake's Fire LLC","Jake's Fire LLC",Dispensary,Shawnee,Pottawatomie,2023-11-29
DAAA-J8PN-UL8K,"405 Gas Station 2, LLC","405 Gas Station 2, LLC",Dispensary,Choctaw,Oklahoma,2023-11-30
DAAA-DTIJ-ZXRQ,"Roots of Nature LLC","Roots of Nature LLC",Dispensary,Guthrie,Logan,2023-11-30
DAAA-JVIH-7HID,"Smith Cannabis Co","Smith Cannabis Co",Dispensary,Caddo,Bryan,2023-11-30
DAAA-WF23-AI0M,"BlackSheep Enterprise llc","Drip Fine Cannabis",Dispensary,"Oklahoma City",Oklahoma,2023-11-30
DAAA-GSJO-UGR1,"POCOLA NATURAL HEALTH LLC","POCOLA NATURAL HEALTH LLC",Dispensary,POCOLA,"Le Flore",2023-11-30
DAAA-5M4D-SHGP,"ELITE GREEN LEAF LLC","ELITE GREEN LEAF LLC",Dispensary,GARVIN,McCurtain,2023-11-30
DAAA-GWT5-ZT80,"FUMOSO, LLC","FUMOSO, LLC",Dispensary,Altus,Jackson,2023-12-01
DAAA-7H7U-ZDTA,"River Valley Natural Health LLC","River Valley Natural Health LLC",Dispensary,Moffett,Sequoyah,2023-12-01
DAAA-VCRE-G7PY,"FAVE Cannabis, LLC","FAVE Cannabis, LLC",Dispensary,Checotah,McIntosh,2023-12-01
DAAA-V5D3-4DTP,"HGDPS1 LLC","High Guys Dispensaries",Dispensary,"Oklahoma City",Cleveland,2023-12-01
DAAA-V8K5-ED84,"TRIPLE OG LLC","TRIPLE OG DISPENSARY",Dispensary,ARDMORE,Carter,2023-12-01
DAAA-VVIN-2GVM,"Ronald Lee","Hippies Gold",Dispensary,Anadarko,Caddo,2023-12-01
DAAA-0EW8-905Z,"DR PAULS MEDICAL HERBS LLC","DR PAULS HERBAL DISPENSARY",Dispensary,WAURIKA,Jefferson,2023-12-01
DAAA-CSBZ-ZH20,"NeverRest, LLC",NeverRest,Dispensary,"West Siloam Springs",Delaware,2023-12-02
DAAA-IW07-TJS2,"Native Harvest, LLC","Native Harvest, LLC",Dispensary,"Oklahoma City",Oklahoma,2023-12-05
DAAA-OAKB-OL3U,"The Trap Cannabis Dispensary, LLC","The Trap Cannabis Dispensary",Dispensary,Tulsa,Tulsa,2023-12-06
DAAA-HYKS-SWSW,"BSMelton LLC","BSMelton LLC",Dispensary,Calumet,Canadian,2023-12-07
DAAA-CG23-L8N5,"Push Xotics, LLC","Xotic Steppers",Dispensary,Norman,Cleveland,2023-12-07
DAAA-8CH2-YSOE,"Top Notch Cannabis Dispensary LLC","Highly Green Dispensary",Dispensary,"Oklahoma City",Oklahoma,2023-12-08
DAAA-YKX0-JD57,"Black Unicorn Dispensary LLC","Black Unicorn Dispensary LLC",Dispensary,Seminole,Seminole,2023-12-12
DAAA-VLU2-HL2P,"J&C DISPENSARY LLC","J&C DISPENSARY LLC",Dispensary,MANGUM,Greer,2023-12-12
DAAA-SJHY-K49Y,"The Happy Crop LLC","The Happy Crop LLC",Dispensary,Nowata,Nowata,2023-12-13
DAAA-KD4Y-U8ZE,"Flavor Town Dispensary, LLC","Flavor Town Dispensary, LLC",Dispensary,Heavener,"Le Flore",2023-12-13
DAAA-3ZSY-4M23,"Lucky Seven Dispensery LLC","Lucky Seven Dispensery LLC",Dispensary,Tulsa,Tulsa,2023-12-13
DAAA-V93P-OGDU,"Big Creek Enterprises LLC","Big Creek Dispensary",Dispensary,Edmond,Logan,2023-12-13
DAAA-K0GF-4JLY,"Connoisseur Cannabis, LLC","Connoisseur Cannabis, LLC",Dispensary,"Oklahoma City",Oklahoma,2023-12-13
DAAA-UAUQ-98JN,"The greenhouse and supply co #3 llc","The greenhouse and supply co #3 llc",Dispensary,Cement,Caddo,2023-12-13
DAAA-9EQM-P0RB,"Slaughterhouse canna dispensary LLC","Slaughterhouse canna dispensary LLC",Dispensary,Madill,Marshall,2023-12-13
DAAA-7F7L-L0TF,"TAJ LLC","Rainbow Dispensary",Dispensary,Tulsa,Tulsa,2023-12-14
DAAA-X3JL-52NB,"Terp House, LLC","Terp House, LLC",Dispensary,Nowata,Nowata,2023-12-14
DAAA-TIJW-1JRN,"LIVWELL MEDS OF CALERA INC","LIVWELL MEDS OF CALERA INC",Dispensary,Calera,Bryan,2023-12-15
DAAA-T2XC-XOMW,"420 Broadway 1","420 Broadway 1",Dispensary,Muskogee,Muskogee,2023-12-18
DAAA-8PXZ-9S4Y,"Eagle Feather Reserve III LLC","Eagle Feather Reserve III LLC",Dispensary,Blackwell,Kay,2023-12-18
DAAA-GOBR-TDZQ,"Black Hat Retail 2, LLC","Black Hat Retail 2, LLC",Dispensary,Afton,Delaware,2023-12-19
DAAA-ICO5-ZPK2,"Ferg Brothers, LLC",UTERPIA,Dispensary,DUNCAN,Stephens,2023-12-19
DAAA-TYWQ-F85H,"Angie's Garden, LLC","Angie's Garden, LLC",Dispensary,Guthrie,Logan,2023-12-20
DAAA-374O-YUVK,"THE 420 JOINT LLC","THE 420 JOINT GROVE",Dispensary,BEGGS,Okmulgee,2023-12-21
